,service_rate,customer_segmentation,contract_duration,occupancy,o1,o2,o3,o4,v1,v2,v3,v4,avg_seats,id_max_seats,max_seats,median_seats,serviced_seats,picking_up_seats,rebalancing_seats,parked_seats,avg_runtime
IN-SCENARIO_BA-30_ST-10800_MR-1000_IF-1000_MC-4_CS-AA_CD-0_SR-S10_VH_SD_RE-OP_OPT-ERTV,S10,AA,0,31.68%,69.92%,20.38%,6.91%,2.79%,23.19%,4.56%,1.11%,0.60%,4588.24,2011-02-01 19:00:30,4884.0,4684.0,31.68%,12.58%,3.82%,51.92%,0.01
IN-SCENARIO_BA-30_ST-10800_MR-1000_IF-1000_MC-4_CS-AA_CD-0_SR-S10_VH_SD_RE-OP_OPT-JAVIERSL,S10,AA,0,28.51%,62.18%,24.82%,9.17%,3.83%,0.00%,0.00%,0.00%,0.00%,4000.00,2011-02-01 18:00:30,4000.0,4000.0,28.51%,10.37%,4.36%,56.77%,0.01
IN-SCENARIO_BA-30_ST-10800_MR-1000_IF-1000_MC-4_CS-AA_CD-0_SR-S8_VH_SD_RE-OP_OPT-ERTV,S8,AA,0,32.72%,67.66%,21.72%,7.38%,3.24%,21.94%,4.32%,0.99%,0.48%,4534.14,2011-02-01 19:09:30,4815.0,4623.0,32.72%,13.48%,4.02%,49.78%,0.01
IN-SCENARIO_BA-30_ST-10800_MR-1000_IF-1000_MC-4_CS-AA_CD-0_SR-S8_VH_SD_RE-OP_OPT-JAVIERSL,S8,AA,0,28.31%,63.18%,23.99%,9.01%,3.82%,0.00%,0.00%,0.00%,0.00%,4000.00,2011-02-01 18:00:30,4000.0,4000.0,28.31%,10.30%,4.42%,56.97%,0.01
IN-SCENARIO_BA-30_ST-10800_MR-1000_IF-1000_MC-4_CS-BB_CD-0_SR-S0_VH_SD_RE-OP_OPT-ERTV,S0,BB,0,34.52%,46.88%,29.46%,15.29%,8.37%,0.00%,0.00%,0.00%,0.00%,4000.00,2011-02-01 18:00:30,4000.0,4000.0,34.52%,11.78%,4.28%,49.42%,0.02
IN-SCENARIO_BA-30_ST-10800_MR-1000_IF-1000_MC-4_CS-BB_CD-0_SR-S0_VH_SD_RE-OP_OPT-JAVIERSL,S0,BB,0,34.67%,46.57%,29.91%,15.32%,8.20%,0.00%,0.00%,0.00%,0.00%,4000.00,2011-02-01 18:00:30,4000.0,4000.0,34.67%,11.76%,4.21%,49.35%,0.01
IN-SCENARIO_BA-30_ST-10800_MR-1000_IF-1000_MC-4_CS-BB_CD-0_SR-S10_VH_SD_RE-OP_OPT-ERTV,S10,BB,0,32.16%,62.64%,23.96%,9.39%,4.01%,23.98%,4.61%,1.19%,0.77%,4632.89,2011-02-01 18:18:30,4976.0,4740.0,32.16%,14.29%,4.82%,48.72%,0.01
IN-SCENARIO_BA-30_ST-10800_MR-1000_IF-1000_MC-4_CS-BB_CD-0_SR-S10_VH_SD_RE-OP_OPT-JAVIERSL,S10,BB,0,34.47%,48.76%,27.86%,14.87%,8.51%,0.00%,0.00%,0.00%,0.00%,4000.00,2011-02-01 18:00:30,4000.0,4000.0,34.47%,10.31%,5.12%,50.10%,0.01
IN-SCENARIO_BA-30_ST-10800_MR-1000_IF-1000_MC-4_CS-BB_CD-0_SR-S8_VH_SD_RE-OP_OPT-ERTV,S8,BB,0,33.64%,60.64%,24.68%,10.15%,4.54%,20.86%,4.10%,1.06%,0.52%,4510.33,2011-02-01 18:57:30,4852.0,4604.0,33.64%,14.30%,4.44%,47.62%,0.01
IN-SCENARIO_BA-30_ST-10800_MR-1000_IF-1000_MC-4_CS-BB_CD-0_SR-S8_VH_SD_RE-OP_OPT-JAVIERSL,S8,BB,0,34.53%,48.21%,28.15%,15.33%,8.31%,0.00%,0.00%,0.00%,0.00%,4000.00,2011-02-01 18:00:30,4000.0,4000.0,34.53%,10.34%,4.96%,50.18%,0.01
IN-SCENARIO_BA-30_ST-10800_MR-1000_IF-1000_MC-4_CS-BB_CD-0_SR-S9_VH_SD_RE-OP_OPT-ERTV,S9,BB,0,32.90%,61.78%,24.35%,9.70%,4.17%,22.55%,4.31%,1.09%,0.62%,4567.94,2011-02-01 18:18:30,4900.0,4665.0,32.90%,14.71%,4.35%,48.04%,0.01
IN-SCENARIO_BA-30_ST-10800_MR-1000_IF-1000_MC-4_CS-BB_CD-0_SR-S9_VH_SD_RE-OP_OPT-JAVIERSL,S9,BB,0,34.32%,48.56%,28.42%,14.79%,8.24%,0.00%,0.00%,0.00%,0.00%,4000.00,2011-02-01 18:00:30,4000.0,4000.0,34.32%,10.44%,4.93%,50.31%,0.01
IN-SCENARIO_BA-30_ST-10800_MR-1000_IF-1000_MC-4_CS-CC_CD-0_SR-S10_VH_SD_RE-OP_OPT-ERTV,S10,CC,0,31.68%,62.92%,23.66%,9.50%,3.92%,25.39%,4.92%,1.35%,0.85%,4704.83,2011-02-01 19:12:30,5081.0,4826.0,31.68%,16.23%,4.55%,47.54%,0.01
IN-SCENARIO_BA-30_ST-10800_MR-1000_IF-1000_MC-4_CS-CC_CD-0_SR-S10_VH_SD_RE-OP_OPT-JAVIERSL,S10,CC,0,33.80%,49.22%,28.38%,14.45%,7.95%,0.00%,0.00%,0.00%,0.00%,4000.00,2011-02-01 18:00:30,4000.0,4000.0,33.80%,10.99%,4.09%,51.13%,0.01
